timestamp,text,retweets,likes
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-250% within MINUTES! 📈

🎁Learn more: https://t.co/XwqqY0kH9s

kfZr23dm @TWlateralthink @AhadWae @lokydog971 @__HIGHMINDED @Michael_Reedyy @CoEvent @AashurajSr @SZobeth @networkknight @Hadouken_Fire @Bloball_",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 200-300% within MINUTES! 📈

🎁Welcome: https://t.co/emFvO7A9IW

7LWioT3l @NeloangelloL @MarquitaMa29907 @WillPatton__ @SashaColebatch @j4v13r @warriorofJ @7bew8z4aa8z5r5a @Gravity_Goose @kalimurrell23 @AmadeusSoul @FUN23KENYA",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-300% within MINUTES! 📈

🎁Welcome: https://t.co/XwqqY0kH9s

T3ZjgUb5 @CoxWriterFiles @hokli_shahid @LizaGopie @laughter_heals @Chuksspring1 @flakez15 @naomiarredondo_ @alican16777 @thegrowthpb @RorySto67980215 @weber_zachery",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-250% within MINUTES! 📈

🎁Learn more: https://t.co/whSEhKLHp3

mYfJCSqa @AthmanAli74 @Annuboy5 @sorchaokeefe @Alabsi0Ala @NotCumdox @HunterC64831664 @oudhahbouhayah2 @lov3th3void @giuriani @minikolas @kknabanansza",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-300% within MINUTES! 📈

🎁Welcome: https://t.co/whSEhKLHp3

VoGgQ4l5 @Marian21Sebi @kagemawamwangi @cigognecedre @Brandon00151 @pascual__izza @anitstherprezz @vlifanv @atweetstorm @fmg77777 @SoumahKalifa @akam_joshu83742",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-250% within MINUTES! 📈

🎁Learn more: https://t.co/whSEhKLHp3

tTK9qCkX @Gajanan05614697 @BML_Indy2013 @ToriiLentz @GoodwillMokony1 @mtesta_ @AlAnoud2009 @eugenedavishair @AndrewAlle41036 @Charlezsimon1 @Samuel951145620 @harrymackie13",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 200-300% within MINUTES! 📈

🎁Welcome: https://t.co/uwjIawKvoh

HFZPa5kx @Millbauer @pclarke_97 @Jtyson15033511 @DynamicTechTeam @regimartinnez @156ft @StandStoneExpd @oreoohey @DrazerJhan @maddiecollinsss @pablo33293",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 150-250% within MINUTES! 📈

🎁Learn more: https://t.co/XwqqY0kH9s

23PWpef7 @larelekman @AllavoHyacinthe @GladysG87746318 @denizkirici @Deekshith6969 @abdounyassine26 @ElijahM50136296 @BasudebSana @tasawarali756 @madatthesun @BartScholtissen",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 200-300% within MINUTES! 📈

🎁Welcome: https://t.co/XwqqY0kH9s

ylJ2DPVS @zermux @ildomanhy @DecentMoose @cgprande @Aome285 @OEnenu8755 @alb_sala @AliAlsayoud @wolfebi72 @BasicallyAGod_ @HiraQuta",0,0
2025-03-13 15:26:18+00:00,"#CryptoPump🚀

Make 200-300% within MINUTES! 📈

🎁Welcome: https://t.co/emFvO7A9IW

EC83gJnY @pyterson157 @WendySrq0517 @sinnar_arisia @AlokDub88397916 @Virya53 @nevalaltuntas21 @brunnosm1 @KritsakornPak @rtomer2005 @edrey_91 @Gonzalo06412714",0,0
